PKM KD UPREGULATED PAUSE SITES,,,,PKM KD DOWNREGULATED PAUSE SITES,,,,EIF5A OVX UPREGULATED PAUSE SITES,,,,EIF5A OVX DOWNREGULATED PAUSE SITES,,,,EIF5A OVX DOWNREGULATED TE,,EIF5A OVX UPREGULATED TE,
,Transcript,p,t-statistic,,Transcript,p,t-statistic,,Transcript,p,statistic,,Transcript,p,statistic,Index,Transcript,Index,Transcript
46,HNRNPM,0.0191,-6.256393302,,,,,46,RPL18,0.013,4.863666748,46,PDIA4,0.0122,-6.403114512,7579,HMMR,6446,GABRR2
47,HNRNPU,0.021,-3.726036043,,,,,47,RPL18A,0.00745,5.355981704,47,PRKCSH,0.0386,-3.047320744,7939,IGF2R,6541,GATD1
48,KHDRBS1,0.0451,-2.879729872,,,,,48,RPL18A,0.0444,4.539101768,48,PRKDC,0.0452,-3.011817914,8195,IQGAP2,7399,HDAC10
49,KPNB1,0.0413,-3.912610362,,,,,49,RPL19,0.00584,5.836873418,49,PRKDC,0.0236,-3.563081727,8211,IRF2BPL,7406,HDAC7
50,MORF4L1,0.00538,-6.480316957,,,,,50,RPL26,0.0183,3.863798992,50,RACK1,0.0422,-3.076822165,8326,JAK1,7470,HEXD
51,NAP1L1,0.0292,-4.771177497,,,,,51,RPL31,0.0227,3.835117454,51,RAD21,0.0464,-2.858459903,8342,JMJD1C,7572,HMGN2
52,NDUFA4,0.022,-3.693873485,,,,,52,RPL32,0.00342,6.224658371,52,RAN,0.033,-3.571716136,8559,KHSRP,7611,HNRNPLL
53,NUCKS1,0.0476,-2.876981115,,,,,53,RPL34,0.00824,4.866560873,53,RAN,0.0283,-3.697548536,8595,KIAA2013,7739,HSF4
54,NUCKS1,0.0387,-3.07097971,,,,,54,RPL37,0.0285,4.573468416,54,RBBP4,0.0449,-4.521992944,8613,KIF20B,7971,IGSF9B
55,NUCKS1,0.0402,-3.351435905,,,,,55,RPL37,0.031,3.476690369,55,RPL14,0.0253,-3.556696412,8768,KNL1,8106,INIP
56,PAICS,0.0211,-4.155305438,,,,,56,RPL4,0.0384,3.047154886,56,RPL15,0.0361,-3.160354589,8948,KTN1,8118,INPP4A
57,PCBP2,0.0396,-3.103698288,,,,,57,RPL41,0.00258,7.186598178,57,RPL18A,0.033,-3.536515265,8982,LAMC1,8553,KHDC4
58,PEBP1,0.00393,-6.306841255,,,,,58,RPL6,0.0307,3.405444284,58,RPL37,0.0238,-3.5524529,9003,LARP1,9028,LCAT
59,PLS3,0.0039,-10.17898009,,,,,59,RPN2,0.0156,6.055430295,59,RPL37A,0.0464,-2.870213587,9581,MAGEC1,9095,LENG8
60,PPIA,0.00855,-6.598832854,,,,,60,RPS13,0.0238,3.977566698,60,RPL38,0.00672,-10.15309043,9584,MAGED1,9451,LTBP4
61,PRPF8,0.0433,-3.133271472,,,,,61,RPS13,0.00831,4.880046365,61,RPLP1,0.0485,-3.182207307,9638,MAP1B,9523,LZTR1
62,PSMA5,0.00345,-6.935823518,,,,,62,RPS19,0.0116,4.769266665,62,RPLP2,0.0302,-3.753765964,9675,MAP4K4,9625,MAN2C1
63,PTBP1,0.00489,-5.720348526,,,,,63,RPS23,0.0397,4.660194123,63,RPN2,0.0359,-3.158851469,9988,MGA,9699,MAPK8IP3
64,PTMA,0.00919,-5.451180982,,,,,64,RPS27A,0.0331,5.132422704,64,RPS23,0.0195,-3.782230082,10061,MIS18BP1,10027,MICU3
65,RAN,0.00504,-5.631400973,,,,,65,RPS28,0.0176,3.965419755,65,RPS28,0.0297,-4.361349783,10067,MKI67,10042,MIGA2
66,RPL13,0.0184,-3.841880871,,,,,66,RPS3A,0.0473,3.217910591,66,RRM2,0.039,-3.051871464,10897,NEO1,10088,MLLT10
67,RPL15,0.0247,-3.533422773,,,,,67,RPS6,0.00364,6.389204363,67,SCD,0.00182,-7.477878015,10899,NES,10097,MLXIP
68,RPL26,0.0354,-3.141229729,,,,,68,RRM2,0.0354,3.124870537,68,SCD,0.0337,-4.294355907,10994,NIPBL,10184,MOV10L1
69,RPL36,0.0393,-3.029689466,,,,,69,SF3B1,0.0321,3.560154398,69,SEC61A1,0.0309,-3.27835631,11016,NKTR,10212,MPPED2
70,RPL37,0.00987,-4.622319332,,,,,70,SFPQ,0.0433,3.88070879,70,SFPQ,0.0403,-2.993318184,11151,NPAT,10248,MROH1
71,RPL37A,0.0182,-4.051124915,,,,,71,SFPQ,0.00405,6.298443489,71,SMC4,0.025,-3.665419849,11934,OSBP,10370,MSI2
72,RPL5,0.023,-3.849709336,,,,,72,SLC1A5,0.0378,3.158086806,72,SPCS3,0.0108,-4.504611621,11944,OSBPL8,10590,MYO19
73,RPL7A,0.0119,-4.532271121,,,,,73,SND1,0.0289,3.466307139,73,SSR1,0.0335,-3.841411116,12133,PARP1,10680,NAIP
74,RPS11,0.0183,-3.934580515,,,,,74,SSBP1,0.00568,9.39238339,74,ST3GAL6,0.026,-4.51424575,12274,PCM1,10702,NARF
75,RPS27A,0.0104,-9.332836763,,,,,75,STT3A,0.012,7.448624518,75,STT3A,0.0388,-3.53812214,12383,PDS5B,10724,NBEAL2
76,RPS3A,0.0496,-3.873281052,,,,,76,SYNCRIP,0.0116,4.604651316,76,STT3A,0.0369,-3.131625174,12533,PHF3,11041,NLRC5
77,RPSA,0.0152,-4.295785299,,,,,77,TFRC,0.0134,5.127449473,77,STT3B,0.0278,-3.566278355,12540,PHIP,11257,NRG3
78,SCD,0.0417,-4.139302676,,,,,78,TMED9,0.000314,11.62417784,78,SUB1,0.0146,-4.266817864,13072,PPIG,11298,NSUN6
79,SDHC,0.025,-3.496216379,,,,,79,TPI1,0.0467,2.854622707,79,SYNCRIP,0.00446,-9.08551067,13080,PPIP5K2,11467,ODF3B
80,SERBP1,0.0267,-3.652070667,,,,,80,TRAM1,0.00586,10.8231529,80,TMCO1,0.0497,-2.901973195,13140,PPP1R9B,11997,OXCT2
81,SERBP1,0.00304,-10.32043796,,,,,81,TUBB,0.0279,4.313109322,81,TOP2A,0.00107,-10.32263258,13351,PRPF8,12052,PACS2
82,SET,0.00933,-9.614209136,,,,,82,UQCRB,0.00979,4.741252446,82,TXNDC5,0.0282,-4.770496837,13398,PRRC2C,12078,PAIP2
83,SKP1,0.0221,-3.832414581,,,,,83,VIM,0.0185,5.561679407,83,TXNIP,0.0108,-9.305915158,13711,RAB11FIP1,12143,PARP6
84,SLC16A1,0.0395,-3.475255888,,,,,84,XRCC6,0.0103,4.698256772,84,UAP1,0.0043,-5.948618158,13854,RANBP2,12173,PAXX
85,SNRPC,0.00149,-10.11607689,,,,,85,YBX1,0.00903,4.989668541,85,UTP3,0.0232,-3.590173185,13926,RB1CC1,12282,PCNX2
86,SNRPC,0.0432,-4.039801422,,,,,86,ZBTB38,0.0481,2.844256797,86,VCP,0.0418,-2.990225628,14081,RESF1,12296,PCSK7
87,SNRPE,0.0221,-3.775534985,,,,,87,ZBTB38,0.0461,2.975434609,87,YWHAB,0.0108,-6.061353224,14216,RIF1,12371,PDLIM2
88,SRSF3,0.0242,-5.116423685,,,,,,,,,88,YWHAZ,0.0361,-3.679728255,14426,RPGRIP1L,12485,PGGHG
89,ST13,0.0191,-6.801897566,,,,,,,,,89,ZBTB38,0.0158,-4.134463362,14581,RSF1,12558,PHPT1
90,TMBIM6,0.016,-4.367058072,,,,,,,,,,,,,14728,SAMD9L,12566,PHYKPL
91,TOP2A,0.0294,-3.577873126,,,,,,,,,,,,,14774,SCAF11,12584,PIEZO1
92,TPT1,0.00868,-4.869498633,,,,,,,,,,,,,14911,SEC16A,12675,PKD1
